$1FFFFFFF (Offs. 8) = 1:  0.00%, 2:  0.07%, 3: 16.99%, 4: 82.94%, 5: NEVER , 
$1FFFFFFF (Offs. 6) = 1:  0.00%, 2:  0.02%, 3:  6.39%, 4: 93.59%, 5: NEVER , 

$3FFFFFFF (    MOV) = 1:  0.00%, 2:  0.18%, 3: 29.78%, 4: 70.04%, 5: NEVER , 
$3FFFFFFF (logical) = 1:  0.00%, 2:  0.15%, 3: 20.57%, 4: 79.29%, 5: NEVER , 
$3FFFFFFF (ADD/SUB) = 1:  0.00%, 2:  0.18%, 3: 28.99%, 4: 70.83%, 5: NEVER , 
$3FFFFFFF (Offs.12) = 1:  0.00%, 2:  0.49%, 3: 65.82%, 4: 33.69%, 5: NEVER , 
$3FFFFFFF (Offs.10) = 1:  0.00%, 2:  0.14%, 3: 30.33%, 4: 69.53%, 5: NEVER , 
$3FFFFFFF (Offs. 8) = 1:  0.00%, 2:  0.04%, 3: 11.80%, 4: 88.16%, 5: NEVER , 
$3FFFFFFF (Offs. 6) = 1:  0.00%, 2:  0.01%, 3:  4.21%, 4: 95.78%, 5: NEVER , 

$7FFFFFFF (    MOV) = 1:  0.00%, 2:  0.12%, 3: 25.28%, 4: 74.60%, 5: NEVER , 
$7FFFFFFF (logical) = 1:  0.00%, 2:  0.09%, 3: 15.63%, 4: 84.28%, 5: NEVER , 
$7FFFFFFF (ADD/SUB) = 1:  0.00%, 2:  0.12%, 3: 24.67%, 4: 75.20%, 5: NEVER , 
$7FFFFFFF (Offs.12) = 1:  0.00%, 2:  0.27%, 3: 48.12%, 4: 51.61%, 5: NEVER , 
$7FFFFFFF (Offs.10) = 1:  0.00%, 2:  0.08%, 3: 20.21%, 4: 79.71%, 5: NEVER , 
$7FFFFFFF (Offs. 8) = 1:  0.00%, 2:  0.02%, 3:  7.46%, 4: 92.52%, 5: NEVER , 
$7FFFFFFF (Offs. 6) = 1:  0.00%, 2:  0.01%, 3:  2.57%, 4: 91.18%, 5:  6.25%, 

$FFFFFFFF (    MOV) = 1:  0.00%, 2:  0.12%, 3: 25.28%, 4: 74.60%, 5: NEVER , 
$FFFFFFFF (logical) = 1:  0.00%, 2:  0.06%, 3: 13.17%, 4: 86.77%, 5: NEVER , 
$FFFFFFFF (ADD/SUB) = 1:  0.00%, 2:  0.12%, 3: 24.67%, 4: 75.20%, 5: NEVER , 
$FFFFFFFF (Offs.12) = 1:  0.00%, 2:  0.27%, 3: 48.12%, 4: 51.61%, 5: NEVER , 
$FFFFFFFF (Offs.10) = 1:  0.00%, 2:  0.08%, 3: 20.21%, 4: 79.71%, 5: NEVER , 
$FFFFFFFF (Offs. 8) = 1:  0.00%, 2:  0.02%, 3:  7.46%, 4: 92.52%, 5: NEVER , 
$FFFFFFFF (Offs. 6) = 1:  0.00%, 2:  0.01%, 3:  2.57%, 4: 91.18%, 5:  6.25%, 

